Part_ID,Part_Type,Airline_Name,Flight_Number,Temperature (°C),Pressure (bar),Vibration (mm/s),Working_Hours,Maintenance_Required,Failure_Type,Last_Maintenance_Date,Remaining_Life (hours),Flight_Type
PART_00448,Turbine Blade,Cloud Nine Aviation,FN_1893,108.42,252.34,5.31,11945,False,Turbine Overheat,2024-06-14,434,Long-Haul
PART_00194,Navigation Module,Cloud Nine Aviation,FN_1398,109.96,75.47,6.44,48474,False,Valve Stuck,2024-06-22,4610,Short-Haul
PART_00086,Actuator,Cloud Nine Aviation,FN_9948,104.55,262.22,9.34,13091,True,Turbine Overheat,2024-08-20,3538,Cargo
PART_00160,Control Valve,FlySwift,FN_9724,99.02,19.28,8.02,49602,True,Oil Leakage,2024-12-19,7804,Cargo
PART_00063,Fuel Injector,Global Wings,FN_4159,117.09,252.86,8.77,49556,True,Oil Leakage,2024-01-14,5828,Cargo
PART_00494,Communication Module,FlySwift,FN_9565,80.43,185.34,6.97,4225,True,Oil Leakage,2024-01-07,6376,Private
PART_00187,Actuator,Cloud Nine Aviation,FN_1310,75.62,70.95,7.99,42092,False,Fuel Leakage,2024-02-09,1913,Commercial
PART_00140,Turbine Blade,AirJet Airways,FN_7220,50.26,218.42,8.39,42764,False,None,2024-10-12,8934,Cargo
PART_00050,Control Valve,Cloud Nine Aviation,FN_1679,95.13,88.88,7.81,2487,True,Fuel Leakage,2024-09-09,6944,Short-Haul
PART_00447,Fuel Line,Cloud Nine Aviation,FN_8042,101.29,70.12,9.73,45438,True,Fuel Leakage,2024-04-05,544,Cargo
PART_00049,Fuel Line,Sky High Airlines,FN_7442,103.62,19.02,8.32,22538,False,Seal Failure,2024-10-05,8203,Short-Haul
PART_00340,Control Valve,FlySwift,FN_8801,84.58,161.76,8.86,43272,False,Fuel Leakage,2024-03-05,5309,Cargo
PART_00466,Oil Pump,Cloud Nine Aviation,FN_8382,105.39,128.15,9.98,13182,True,Seal Failure,2024-01-12,2852,Commercial
PART_00456,Oil Pump,Cloud Nine Aviation,FN_5325,84.17,22.33,0.43,6713,True,Valve Stuck,2024-04-12,7685,Commercial
PART_00452,Turbine Blade,FlySwift,FN_4006,94.48,180.44,7.95,9670,True,Valve Stuck,2024-01-25,2478,Short-Haul
PART_00336,Turbine Blade,Global Wings,FN_3837,49.96,290.15,8.29,11548,True,Oil Leakage,2024-11-17,3498,Commercial
PART_00131,Fuel Injector,Cloud Nine Aviation,FN_3155,101.23,162.4,7.54,8647,False,Turbine Overheat,2024-12-11,418,Commercial
PART_00159,Control Valve,AirJet Airways,FN_7706,55.18,159.21,2.09,32112,False,Turbine Overheat,2024-09-14,3727,Short-Haul
PART_00086,Navigation Module,Global Wings,FN_7144,59.7,69.41,4.36,15661,True,Oil Leakage,2024-03-26,8981,Long-Haul
PART_00195,Fuel Injector,Cloud Nine Aviation,FN_9800,45.81,39.12,4.74,5444,False,Turbine Overheat,2024-11-11,7058,Cargo
PART_00245,Oil Pump,FlySwift,FN_9163,92.79,70.08,0.38,21232,False,Turbine Overheat,2024-11-28,4292,Long-Haul
PART_00338,Communication Module,Global Wings,FN_5869,62.8,233.16,5.07,10182,True,Valve Stuck,2024-01-21,8436,Long-Haul
PART_00431,Fuel Injector,AirJet Airways,FN_1404,105.71,148.43,6.61,23288,False,Seal Failure,2024-08-14,784,Long-Haul
PART_00380,Actuator,AirJet Airways,FN_3714,117.04,46.22,3.27,49713,False,None,2024-05-08,1143,Private
PART_00192,Control Valve,Cloud Nine Aviation,FN_2582,108.77,32.31,8.63,1963,True,Valve Stuck,2024-02-20,4398,Commercial
PART_00196,Hydraulic Pump,Global Wings,FN_3085,75.75,105.78,2.54,35505,False,None,2024-03-10,4246,Short-Haul
PART_00464,Wheel Brake Assembly,Cloud Nine Aviation,FN_8556,72.33,242.31,5.04,40226,True,Oil Leakage,2024-01-03,1493,Long-Haul
PART_00096,Turbine Blade,Cloud Nine Aviation,FN_8952,113.65,298.55,4.04,12455,True,Seal Failure,2024-05-16,5679,Long-Haul
PART_00267,Control Valve,AirJet Airways,FN_3919,42.87,122.1,8.28,29726,False,None,2024-08-24,3166,Long-Haul
PART_00089,Navigation Module,Cloud Nine Aviation,FN_7522,51.25,86.61,8.24,5826,False,Turbine Overheat,2024-10-27,6800,Commercial
PART_00177,Control Valve,FlySwift,FN_3093,110.97,26.32,5.28,32515,True,Fuel Leakage,2024-02-21,8391,Private
PART_00086,Turbine Blade,FlySwift,FN_3327,47.13,122.29,0.3,17169,True,Seal Failure,2024-03-10,8977,Commercial
PART_00171,Communication Module,Sky High Airlines,FN_3519,50.01,182.07,5.34,19547,True,Turbine Overheat,2024-12-24,579,Long-Haul
PART_00105,Actuator,Cloud Nine Aviation,FN_1320,80.62,115.22,1.24,28099,True,Seal Failure,2024-06-22,8211,Long-Haul
PART_00254,Navigation Module,Sky High Airlines,FN_8201,98.87,179.82,4.51,9617,False,Pressure Loss,2024-01-04,1877,Cargo
PART_00005,Navigation Module,Global Wings,FN_1987,100.9,141.78,1.73,19068,True,Pressure Loss,2024-02-11,2460,Cargo
PART_00217,Turbine Blade,Cloud Nine Aviation,FN_5375,72.01,97.39,3.0,11110,True,Oil Leakage,2024-07-14,3677,Commercial
PART_00286,Communication Module,Global Wings,FN_1348,82.58,83.2,1.47,29701,True,Seal Failure,2024-02-10,4305,Private
PART_00306,Fuel Injector,AirJet Airways,FN_7850,96.11,257.73,4.33,6268,False,Pressure Loss,2024-09-12,3817,Short-Haul
PART_00448,Turbine Blade,AirJet Airways,FN_3788,89.32,42.43,2.48,46968,False,Valve Stuck,2024-11-08,9488,Commercial
PART_00462,Communication Module,Sky High Airlines,FN_6862,55.08,291.32,9.75,1451,False,Seal Failure,2024-04-08,2570,Commercial
PART_00285,Oil Pump,Global Wings,FN_3244,118.6,206.45,7.76,1036,True,Seal Failure,2024-09-28,9548,Cargo
PART_00429,Control Valve,FlySwift,FN_6617,109.16,72.72,3.43,26788,True,None,2024-11-01,6261,Short-Haul
PART_00266,Wheel Brake Assembly,Sky High Airlines,FN_2464,112.49,31.4,2.74,6783,True,Pressure Loss,2024-08-02,1035,Long-Haul
PART_00125,Communication Module,Sky High Airlines,FN_4826,41.83,135.77,0.64,9071,True,Valve Stuck,2024-11-10,2338,Long-Haul
PART_00320,Turbine Blade,FlySwift,FN_7483,70.61,55.13,4.62,8642,True,Valve Stuck,2024-10-18,1917,Short-Haul
PART_00143,Navigation Module,Global Wings,FN_6214,40.58,121.31,6.7,28044,False,Fuel Leakage,2024-06-22,2375,Short-Haul
PART_00094,Actuator,FlySwift,FN_5073,69.8,203.24,5.75,12869,False,Fuel Leakage,2024-06-22,5463,Cargo
PART_00166,Wheel Brake Assembly,FlySwift,FN_9832,99.66,205.52,2.6,3463,True,Turbine Overheat,2024-03-06,5295,Short-Haul
PART_00481,Oil Pump,FlySwift,FN_3380,83.71,93.95,2.02,18756,False,Valve Stuck,2024-07-12,1360,Short-Haul
PART_00090,Oil Pump,Sky High Airlines,FN_5473,97.19,165.46,7.0,29141,False,Seal Failure,2024-03-14,7875,Commercial
PART_00075,Fuel Line,Sky High Airlines,FN_3201,63.56,283.86,8.65,5751,True,Fuel Leakage,2024-12-15,8268,Long-Haul
PART_00175,Actuator,FlySwift,FN_8820,98.18,38.6,8.74,41265,False,None,2024-03-20,3321,Short-Haul
PART_00158,Navigation Module,AirJet Airways,FN_1685,75.82,159.65,0.05,42396,True,Seal Failure,2024-09-26,4953,Private
PART_00473,Navigation Module,Cloud Nine Aviation,FN_8032,83.74,200.03,5.43,31335,True,None,2024-10-17,4416,Private
PART_00058,Fuel Line,Global Wings,FN_8246,78.07,11.29,6.68,8561,True,Valve Stuck,2024-11-28,7096,Long-Haul
PART_00401,Control Valve,Sky High Airlines,FN_6053,95.32,219.99,0.39,10405,False,Turbine Overheat,2024-02-18,379,Private
PART_00491,Turbine Blade,Global Wings,FN_2101,46.47,122.57,6.74,7735,True,None,2024-11-17,9663,Long-Haul
PART_00155,Fuel Line,Cloud Nine Aviation,FN_7938,106.96,41.34,5.92,13846,False,Seal Failure,2024-09-10,1541,Cargo
PART_00276,Navigation Module,Global Wings,FN_7287,92.94,277.88,4.31,3317,True,Oil Leakage,2024-11-15,9737,Cargo
PART_00276,Hydraulic Pump,AirJet Airways,FN_3568,106.06,227.32,4.99,22980,False,Valve Stuck,2024-11-01,3214,Short-Haul
PART_00146,Fuel Injector,AirJet Airways,FN_5872,111.62,30.21,6.27,46067,False,Fuel Leakage,2024-12-09,9151,Commercial
PART_00115,Fuel Injector,Cloud Nine Aviation,FN_5782,110.94,192.42,0.37,17796,True,Seal Failure,2024-11-18,3553,Cargo
PART_00144,Control Valve,Sky High Airlines,FN_7976,51.95,91.46,2.47,17731,False,Fuel Leakage,2024-06-27,9119,Cargo
PART_00470,Fuel Line,Sky High Airlines,FN_1478,78.64,158.88,3.35,36625,True,Pressure Loss,2024-11-05,1578,Commercial
PART_00442,Wheel Brake Assembly,AirJet Airways,FN_4179,90.04,179.83,7.04,14269,False,Pressure Loss,2024-10-25,9576,Cargo
PART_00034,Actuator,AirJet Airways,FN_7198,47.82,264.48,3.07,11278,True,Fuel Leakage,2024-05-19,1858,Long-Haul
PART_00180,Oil Pump,AirJet Airways,FN_1300,45.78,222.29,3.47,33590,False,Oil Leakage,2024-10-04,7627,Long-Haul
PART_00360,Navigation Module,AirJet Airways,FN_6945,117.54,51.53,0.62,20206,True,Oil Leakage,2024-06-07,762,Commercial
PART_00201,Communication Module,FlySwift,FN_2271,51.89,90.7,6.97,2277,True,Turbine Overheat,2024-10-09,5530,Commercial
PART_00352,Control Valve,Global Wings,FN_1584,42.47,227.72,7.72,41537,True,Seal Failure,2024-04-19,9872,Cargo
PART_00453,Communication Module,Sky High Airlines,FN_2413,89.53,211.2,4.84,28293,True,None,2024-11-05,3745,Cargo
PART_00193,Communication Module,Cloud Nine Aviation,FN_7372,66.16,275.33,9.23,34504,True,None,2024-04-14,5881,Commercial
PART_00273,Turbine Blade,Global Wings,FN_5888,53.39,144.94,2.98,4448,False,Fuel Leakage,2024-10-17,4647,Short-Haul
PART_00208,Oil Pump,Cloud Nine Aviation,FN_6047,114.63,181.82,0.01,19320,False,Fuel Leakage,2024-08-15,9597,Private
PART_00296,Navigation Module,FlySwift,FN_2534,59.31,287.57,5.29,32898,True,None,2024-11-10,7762,Long-Haul
PART_00118,Fuel Line,Global Wings,FN_7539,64.99,137.37,6.15,31655,True,Oil Leakage,2024-10-02,5198,Commercial
PART_00327,Navigation Module,Cloud Nine Aviation,FN_9890,81.84,182.91,0.52,16788,True,Turbine Overheat,2024-10-02,1487,Commercial
PART_00478,Oil Pump,AirJet Airways,FN_1312,86.82,230.34,2.43,32677,False,Oil Leakage,2024-04-16,8520,Long-Haul
PART_00024,Control Valve,AirJet Airways,FN_1767,43.31,16.95,3.5,5089,True,None,2024-10-16,1910,Commercial
PART_00097,Oil Pump,AirJet Airways,FN_6403,67.74,260.47,3.49,2177,False,Turbine Overheat,2024-07-17,9921,Cargo
PART_00430,Fuel Injector,Cloud Nine Aviation,FN_3380,94.36,139.03,1.52,6334,True,Fuel Leakage,2024-02-23,259,Commercial
PART_00439,Communication Module,FlySwift,FN_8781,118.01,269.9,0.01,18845,False,Valve Stuck,2024-10-12,9822,Short-Haul
PART_00166,Turbine Blade,Sky High Airlines,FN_1246,90.97,287.23,3.62,29789,False,Turbine Overheat,2024-09-17,9371,Commercial
PART_00039,Control Valve,Global Wings,FN_4608,94.07,50.87,9.7,19401,True,Turbine Overheat,2024-04-18,470,Long-Haul
PART_00296,Navigation Module,Sky High Airlines,FN_9715,77.23,24.17,9.15,11775,True,None,2024-07-20,9790,Cargo
PART_00296,Turbine Blade,Global Wings,FN_3863,68.18,277.43,2.11,13861,True,Turbine Overheat,2024-05-20,8828,Cargo
PART_00330,Actuator,Sky High Airlines,FN_7353,95.83,215.93,4.7,44179,True,Seal Failure,2024-08-14,9228,Private
PART_00465,Turbine Blade,AirJet Airways,FN_9016,80.27,145.16,3.69,29523,True,Pressure Loss,2024-01-12,900,Private
PART_00200,Actuator,FlySwift,FN_5808,97.45,187.51,0.22,1786,False,Pressure Loss,2024-09-09,663,Short-Haul
PART_00093,Communication Module,Global Wings,FN_2082,85.09,209.71,8.47,19744,True,Oil Leakage,2024-04-07,4280,Short-Haul
PART_00022,Wheel Brake Assembly,AirJet Airways,FN_9151,76.94,76.27,8.0,33197,False,Seal Failure,2024-03-28,7133,Long-Haul
PART_00321,Navigation Module,FlySwift,FN_9503,71.23,152.82,9.81,49072,True,Oil Leakage,2024-01-15,2581,Cargo
PART_00337,Turbine Blade,Global Wings,FN_4282,73.75,292.31,2.88,23496,True,Pressure Loss,2024-06-11,585,Cargo
PART_00333,Hydraulic Pump,Global Wings,FN_6469,55.97,109.26,8.03,17786,False,Fuel Leakage,2024-07-02,1333,Commercial
PART_00233,Turbine Blade,FlySwift,FN_2740,49.18,216.18,5.48,8481,False,Oil Leakage,2024-07-04,719,Commercial
PART_00082,Wheel Brake Assembly,Sky High Airlines,FN_8977,70.34,189.43,8.68,22407,True,Valve Stuck,2024-10-19,8852,Short-Haul
PART_00184,Actuator,AirJet Airways,FN_9142,52.3,191.19,5.61,6616,False,Pressure Loss,2024-09-18,5677,Short-Haul
PART_00282,Hydraulic Pump,AirJet Airways,FN_1768,42.4,109.06,2.64,45077,False,Valve Stuck,2024-03-03,7934,Commercial
PART_00321,Hydraulic Pump,Sky High Airlines,FN_2228,54.97,59.04,7.61,7734,False,None,2024-10-23,6044,Short-Haul
PART_00219,Hydraulic Pump,AirJet Airways,FN_7903,86.11,207.23,0.96,37559,True,Oil Leakage,2024-04-07,3017,Cargo
PART_00111,Fuel Line,Cloud Nine Aviation,FN_2079,71.37,70.56,7.19,28377,False,Seal Failure,2024-08-28,2208,Long-Haul
PART_00085,Control Valve,Sky High Airlines,FN_4337,55.62,70.71,2.36,3059,True,None,2024-04-23,212,Private
PART_00067,Actuator,Sky High Airlines,FN_6133,102.8,170.76,7.71,49857,True,None,2024-12-17,1265,Private
PART_00235,Actuator,Cloud Nine Aviation,FN_3977,79.63,45.46,4.72,43187,False,Turbine Overheat,2024-10-18,1706,Commercial
PART_00054,Fuel Line,Sky High Airlines,FN_7930,93.33,178.82,2.79,37459,True,Oil Leakage,2024-12-18,2267,Cargo
PART_00202,Hydraulic Pump,Sky High Airlines,FN_1730,91.88,188.98,0.88,31373,False,Fuel Leakage,2024-05-18,917,Short-Haul
PART_00277,Communication Module,Cloud Nine Aviation,FN_5017,53.2,121.88,6.64,43156,True,Valve Stuck,2024-01-28,759,Long-Haul
PART_00030,Fuel Line,Cloud Nine Aviation,FN_8306,65.67,272.42,4.38,48225,True,Valve Stuck,2024-10-22,5667,Commercial
PART_00206,Navigation Module,Global Wings,FN_6057,50.09,28.63,9.53,8099,True,Fuel Leakage,2024-05-20,7672,Long-Haul
PART_00184,Wheel Brake Assembly,Sky High Airlines,FN_9303,74.31,221.78,0.16,12825,False,Turbine Overheat,2024-01-19,3158,Commercial
PART_00096,Turbine Blade,Cloud Nine Aviation,FN_3778,109.01,18.19,1.11,25284,False,Pressure Loss,2024-07-10,1724,Private
PART_00404,Actuator,Sky High Airlines,FN_7715,77.37,80.5,1.94,11183,True,Oil Leakage,2024-03-07,6965,Long-Haul
PART_00421,Fuel Injector,Global Wings,FN_9681,46.94,131.48,6.54,19848,False,Oil Leakage,2024-03-07,5347,Short-Haul
PART_00487,Control Valve,Global Wings,FN_5678,42.31,22.8,2.22,11214,False,None,2024-06-28,5182,Short-Haul
PART_00418,Wheel Brake Assembly,Cloud Nine Aviation,FN_2230,104.14,143.44,8.07,11256,True,Valve Stuck,2024-08-27,6282,Cargo
PART_00427,Control Valve,Global Wings,FN_6912,58.95,163.62,8.19,49293,True,Seal Failure,2024-07-05,2342,Private
PART_00385,Navigation Module,Sky High Airlines,FN_8334,44.14,124.78,7.88,39228,True,Fuel Leakage,2024-09-04,6747,Cargo
PART_00426,Navigation Module,Sky High Airlines,FN_1123,69.52,130.41,6.89,39813,False,Pressure Loss,2024-06-04,1224,Long-Haul
PART_00412,Control Valve,Sky High Airlines,FN_2202,44.23,144.93,0.16,40420,False,Turbine Overheat,2024-01-21,8175,Private
PART_00171,Fuel Injector,Global Wings,FN_6120,75.68,71.49,4.45,24971,False,Valve Stuck,2024-01-28,5166,Private
PART_00286,Turbine Blade,Global Wings,FN_5845,90.91,208.37,2.06,29394,False,Pressure Loss,2024-02-06,6650,Short-Haul
PART_00390,Wheel Brake Assembly,Global Wings,FN_4827,96.46,30.68,8.79,7059,True,Fuel Leakage,2024-10-24,5013,Long-Haul
PART_00331,Communication Module,Sky High Airlines,FN_6467,89.83,166.34,7.75,38329,True,Valve Stuck,2024-05-07,3247,Commercial
PART_00349,Oil Pump,Sky High Airlines,FN_5970,82.28,71.91,9.6,39561,False,Valve Stuck,2024-09-18,803,Long-Haul
PART_00343,Communication Module,Sky High Airlines,FN_2031,78.21,109.46,8.87,1440,True,Valve Stuck,2024-02-09,8564,Short-Haul
PART_00041,Fuel Injector,Sky High Airlines,FN_9178,68.18,38.08,3.41,36327,False,Pressure Loss,2024-08-07,2767,Cargo
PART_00231,Navigation Module,Sky High Airlines,FN_7175,45.26,36.14,7.27,13866,False,Fuel Leakage,2024-10-18,4278,Short-Haul
PART_00197,Actuator,Sky High Airlines,FN_6178,58.44,179.53,7.16,44417,False,None,2024-03-25,2555,Cargo
PART_00218,Communication Module,Cloud Nine Aviation,FN_5722,84.44,265.13,7.24,43141,True,Fuel Leakage,2024-09-06,2561,Commercial
PART_00253,Communication Module,Global Wings,FN_3605,67.5,10.4,0.28,42936,False,Valve Stuck,2024-03-13,7082,Long-Haul
PART_00461,Oil Pump,Cloud Nine Aviation,FN_2164,51.57,291.82,8.41,30676,False,Pressure Loss,2024-04-09,2443,Commercial
PART_00284,Actuator,Sky High Airlines,FN_8125,58.99,68.19,2.93,37426,False,Fuel Leakage,2024-04-09,4166,Long-Haul
PART_00333,Actuator,Global Wings,FN_6716,96.05,105.3,4.09,37567,True,Turbine Overheat,2024-06-25,5928,Short-Haul
PART_00385,Turbine Blade,FlySwift,FN_3833,49.56,87.57,6.82,26018,False,Valve Stuck,2024-08-18,4427,Long-Haul
PART_00143,Fuel Injector,Sky High Airlines,FN_8563,40.32,245.43,7.65,9454,True,None,2024-09-20,3814,Short-Haul
PART_00111,Oil Pump,Cloud Nine Aviation,FN_3007,73.83,261.85,7.87,38572,False,Valve Stuck,2024-06-04,4625,Short-Haul
PART_00463,Communication Module,AirJet Airways,FN_5209,100.81,122.9,2.32,44647,False,Fuel Leakage,2024-12-02,7265,Cargo
PART_00306,Control Valve,FlySwift,FN_8439,88.41,112.48,2.91,27750,True,Fuel Leakage,2024-11-18,367,Long-Haul
PART_00368,Fuel Injector,Global Wings,FN_9353,47.28,100.38,3.67,8569,False,Fuel Leakage,2024-10-21,7212,Cargo
PART_00114,Hydraulic Pump,Cloud Nine Aviation,FN_3832,109.81,240.56,5.67,7978,False,Fuel Leakage,2024-03-28,9561,Commercial
PART_00488,Turbine Blade,AirJet Airways,FN_5381,46.71,103.31,7.8,4522,True,Pressure Loss,2024-05-15,3654,Short-Haul
PART_00017,Navigation Module,AirJet Airways,FN_3524,79.91,175.77,5.04,45052,False,Oil Leakage,2024-11-27,9075,Private
PART_00094,Wheel Brake Assembly,Sky High Airlines,FN_8092,75.45,253.93,4.01,46774,True,None,2024-03-05,4616,Long-Haul
PART_00412,Fuel Injector,Global Wings,FN_6473,62.23,217.5,4.89,28044,True,Pressure Loss,2024-11-01,8969,Private
PART_00237,Control Valve,Cloud Nine Aviation,FN_6630,119.13,15.62,1.9,25332,False,Valve Stuck,2024-05-28,1048,Short-Haul
PART_00369,Navigation Module,AirJet Airways,FN_3371,92.25,27.65,8.83,49201,True,None,2024-02-21,4837,Private
PART_00332,Fuel Line,Global Wings,FN_3714,102.82,37.82,7.29,17194,False,Seal Failure,2024-05-01,9394,Cargo
PART_00445,Turbine Blade,FlySwift,FN_1675,73.45,176.59,7.45,15663,False,Fuel Leakage,2024-04-24,6097,Commercial
PART_00199,Communication Module,Sky High Airlines,FN_4539,69.68,59.55,7.77,46032,True,Fuel Leakage,2024-03-21,293,Commercial
PART_00091,Control Valve,FlySwift,FN_7871,64.42,159.34,2.69,3923,True,Pressure Loss,2024-03-06,9612,Short-Haul
PART_00488,Navigation Module,Global Wings,FN_7809,57.38,170.93,2.89,42607,True,Valve Stuck,2024-12-16,6713,Short-Haul
PART_00324,Navigation Module,FlySwift,FN_1736,82.02,100.52,2.71,11107,False,Seal Failure,2024-04-02,5807,Private
PART_00430,Control Valve,Sky High Airlines,FN_6698,53.52,288.34,1.81,41411,False,Valve Stuck,2024-08-21,9490,Commercial
PART_00343,Communication Module,AirJet Airways,FN_3047,116.09,77.08,1.53,41709,True,None,2024-02-24,7298,Long-Haul
PART_00259,Fuel Injector,Sky High Airlines,FN_5305,72.32,150.55,5.76,35810,True,Seal Failure,2024-04-25,4407,Private
PART_00435,Communication Module,Sky High Airlines,FN_4584,66.46,158.64,8.05,4778,True,Valve Stuck,2024-05-28,139,Long-Haul
PART_00444,Actuator,Cloud Nine Aviation,FN_8574,55.36,193.07,6.56,26512,False,None,2024-06-26,9284,Private
PART_00095,Hydraulic Pump,Sky High Airlines,FN_5918,42.27,155.58,8.98,42474,False,Pressure Loss,2024-08-13,7580,Long-Haul
PART_00022,Fuel Injector,Sky High Airlines,FN_8995,57.29,124.46,6.01,39920,True,None,2024-10-16,3123,Short-Haul
PART_00301,Actuator,Sky High Airlines,FN_8824,81.4,140.19,0.22,42397,False,None,2024-04-14,7609,Commercial
PART_00361,Oil Pump,FlySwift,FN_2508,77.03,129.46,1.03,49472,True,Turbine Overheat,2024-02-26,1442,Private
PART_00297,Navigation Module,Global Wings,FN_3664,117.98,219.44,1.2,3231,True,Pressure Loss,2024-07-09,6058,Private
PART_00230,Hydraulic Pump,Cloud Nine Aviation,FN_7640,86.29,128.75,0.37,3074,True,None,2024-07-20,8714,Commercial
PART_00430,Navigation Module,Sky High Airlines,FN_9313,105.76,138.16,3.14,25768,True,None,2024-02-21,8389,Short-Haul
PART_00427,Navigation Module,AirJet Airways,FN_6322,54.83,20.36,2.37,40016,True,Oil Leakage,2024-04-15,1976,Private
PART_00429,Turbine Blade,Global Wings,FN_6294,78.76,70.57,7.95,46150,False,Valve Stuck,2024-01-28,881,Long-Haul
PART_00269,Fuel Injector,AirJet Airways,FN_2904,89.27,171.28,8.01,17715,False,Seal Failure,2024-10-03,5048,Private
PART_00438,Oil Pump,Sky High Airlines,FN_8654,119.58,124.33,1.02,28959,True,None,2024-10-03,7286,Cargo
PART_00210,Hydraulic Pump,AirJet Airways,FN_9910,53.21,161.14,0.92,38454,True,Turbine Overheat,2024-12-11,5654,Short-Haul
PART_00344,Wheel Brake Assembly,AirJet Airways,FN_6944,115.32,222.4,0.9,13945,True,Oil Leakage,2024-11-03,4945,Commercial
PART_00131,Oil Pump,Cloud Nine Aviation,FN_1335,41.8,252.01,3.14,29384,True,Fuel Leakage,2024-09-26,9043,Commercial
PART_00277,Communication Module,Global Wings,FN_1692,55.42,67.45,4.88,28021,True,Pressure Loss,2024-03-13,4899,Long-Haul
PART_00437,Control Valve,Cloud Nine Aviation,FN_3369,90.54,157.38,3.27,41122,False,Turbine Overheat,2024-01-24,1882,Private
PART_00353,Oil Pump,AirJet Airways,FN_7689,99.62,257.64,2.91,43552,True,Turbine Overheat,2024-03-20,6019,Commercial
PART_00320,Fuel Line,Cloud Nine Aviation,FN_7261,75.31,143.56,2.28,26056,False,None,2024-07-06,3681,Long-Haul
PART_00349,Turbine Blade,Sky High Airlines,FN_6999,99.66,79.09,5.39,22327,True,Pressure Loss,2024-12-26,4849,Private
PART_00376,Navigation Module,Sky High Airlines,FN_4716,54.11,107.66,0.58,22698,False,Pressure Loss,2024-10-24,6850,Private
PART_00215,Fuel Injector,Global Wings,FN_3354,103.86,189.08,5.26,33224,True,Pressure Loss,2024-08-10,7604,Commercial
